year,age,industry,female,male
2011,35-39,Others,900,1800
2010,35-39,Others,1600,3900
2009,35-39,Others,800,1800
2008,35-39,Others,1000,2700
2007,35-39,Others,300,2000
2006,35-39,Others,600,2300
2005,35-39,Others,500,1900
2004,35-39,Others,300,1900
2003,35-39,Others,700,2300
2002,35-39,Others,500,2400
2001,35-39,Others,600,2000
2000,35-39,Others,300,1600
2021,40-44,Others,800,1600
2020,40-44,Others,700,1900
2019,40-44,Others,600,2200
2018,40-44,Others,900,1600
2017,40-44,Others,900,1900
2016,40-44,Others,800,1400
2015,40-44,Others,900,1800
2014,40-44,Others,700,2000
2013,40-44,Others,800,3000
2012,40-44,Others,1000,2000
2011,40-44,Others,200,2000
2010,40-44,Others,1300,3500
2009,40-44,Others,500,2300
2008,40-44,Others,800,2200
2007,40-44,Others,800,2000
2006,40-44,Others,600,2100
2005,40-44,Others,400,2300
2004,40-44,Others,600,2500
2003,40-44,Others,1000,2300
2002,40-44,Others,400,1900
2001,40-44,Others,800,2600
2000,40-44,Others,400,1800
2021,45-49,Others,600,1700
2020,45-49,Others,800,1600
2019,45-49,Others,900,1700
2018,45-49,Others,900,1700
2017,45-49,Others,500,1700
2016,45-49,Others,400,1800
2015,45-49,Others,500,1800
2014,45-49,Others,700,1500
2013,45-49,Others,600,2700
2012,45-49,Others,900,2900
2011,45-49,Others,600,2300
2010,45-49,Others,700,4500
2009,45-49,Others,400,2800
2008,45-49,Others,500,2500
2007,45-49,Others,600,3000
2006,45-49,Others,800,2400
2005,45-49,Others,600,2500
2004,45-49,Others,400,3100
2003,45-49,Others,500,2800
2002,45-49,Others,400,3000
2001,45-49,Others,500,3400
2000,45-49,Others,400,1700
2021,50-54,Others,600,1700
2020,50-54,Others,600,1900
2019,50-54,Others,600,1500
2018,50-54,Others,500,1400
2017,50-54,Others,500,1700
2016,50-54,Others,400,1400
2015,50-54,Others,600,2300
2014,50-54,Others,700,2700
2013,50-54,Others,800,2600
2012,50-54,Others,600,3800
2011,50-54,Others,800,3000
2010,50-54,Others,1000,4300
2009,50-54,Others,700,1900
2008,50-54,Others,500,2800
2007,50-54,Others,500,2600
2006,50-54,Others,600,2900
2005,50-54,Others,400,2500
2004,50-54,Others,200,2600
2003,50-54,Others,300,2000
2002,50-54,Others,600,2500
2001,50-54,Others,300,2500
2000,50-54,Others,400,1600
2021,55-59,Others,800,1900
2020,55-59,Others,700,2200
2019,55-59,Others,500,2500
2018,55-59,Others,700,2000
2017,55-59,Others,800,1600
2016,55-59,Others,200,2300
2015,55-59,Others,600,3000
2014,55-59,Others,500,2500
2013,55-59,Others,700,2000
2012,55-59,Others,500,2500
2011,55-59,Others,500,2500
2010,55-59,Others,800,3500
2009,55-59,Others,500,2200
2008,55-59,Others,500,2900
2007,55-59,Others,400,2800
2006,55-59,Others,400,2300
2005,55-59,Others,500,1900
2004,55-59,Others,500,2300
2003,55-59,Others,200,1400
2002,55-59,Others,300,1500
2001,55-59,Others,300,1600
2000,55-59,Others,200,1100
2021,60-64,Others,900,2200
2020,60-64,Others,100,1500
2019,60-64,Others,600,1400
2018,60-64,Others,400,1700
2017,60-64,Others,500,2200
2016,60-64,Others,400,1700
2015,60-64,Others,600,1600
2014,60-64,Others,700,2200
2013,60-64,Others,400,2600
2012,60-64,Others,200,1700
2011,60-64,Others,200,1800
2010,60-64,Others,500,2200
2009,60-64,Others,300,1200
2008,60-64,Others,100,1000
2007,60-64,Others,100,800
2006,60-64,Others,100,1100
2005,60-64,Others,200,1000
2004,60-64,Others,200,900
2003,60-64,Others,100,1200
2002,60-64,Others,100,800
2001,60-64,Others,200,700
2000,60-64,Others,100,500
2021,65 and older,Others,900,1900
2020,65 and older,Others,600,1400
2019,65 and older,Others,400,1600
2018,65 and older,Others,400,1400
2017,65 and older,Others,300,1500
2016,65 and older,Others,400,1500
2015,65 and older,Others,400,1400
2014,65 and older,Others,300,1100
2013,65 and older,Others,200,1300
2012,65 and older,Others,300,900
2011,65 and older,Others,100,600
2010,65 and older,Others,100,600
2009,65 and older,Others,200,600
2008,65 and older,Others,100,600
2007,65 and older,Others,100,400
2006,65 and older,Others,200,500
2005,65 and older,Others,100,300
2004,65 and older,Others,100,200
2003,65 and older,Others,100,500
2002,65 and older,Others,100,200
2001,65 and older,Others,100,300
2000,65 and older,Others,0,100
2021,15-19,Manufacturing,,
2020,15-19,Manufacturing,,
2019,15-19,Manufacturing,,
2018,15-19,Manufacturing,,
2017,15-19,Manufacturing,,
2016,15-19,Manufacturing,,
2015,15-19,Manufacturing,,
2014,15-19,Manufacturing,,
2013,15-19,Manufacturing,,
2012,15-19,Manufacturing,,
2011,15-19,Manufacturing,,
2010,15-19,Manufacturing,,
2009,15-19,Manufacturing,,
2008,15-19,Manufacturing,,
2007,15-19,Manufacturing,,
2006,15-19,Manufacturing,,
2005,15-19,Manufacturing,,
2004,15-19,Manufacturing,,
2003,15-19,Manufacturing,,
2002,15-19,Manufacturing,,
2001,15-19,Manufacturing,,
2000,15-19,Manufacturing,,
2021,20-24,Manufacturing,,
2020,20-24,Manufacturing,,
2019,20-24,Manufacturing,,
2018,20-24,Manufacturing,,
2017,20-24,Manufacturing,,
2016,20-24,Manufacturing,,
2015,20-24,Manufacturing,,
2014,20-24,Manufacturing,,
2013,20-24,Manufacturing,,
2012,20-24,Manufacturing,,
2011,20-24,Manufacturing,,
2010,20-24,Manufacturing,,
2009,20-24,Manufacturing,,
2008,20-24,Manufacturing,,
2007,20-24,Manufacturing,,
2006,20-24,Manufacturing,,
2005,20-24,Manufacturing,,
2004,20-24,Manufacturing,,
2003,20-24,Manufacturing,,
2002,20-24,Manufacturing,,
2001,20-24,Manufacturing,,
2000,20-24,Manufacturing,,
2021,25-29,Manufacturing,,
2020,25-29,Manufacturing,,
2019,25-29,Manufacturing,,
2018,25-29,Manufacturing,,
2017,25-29,Manufacturing,,
2016,25-29,Manufacturing,,
2015,25-29,Manufacturing,,
2014,25-29,Manufacturing,,
2013,25-29,Manufacturing,,
2012,25-29,Manufacturing,,
2011,25-29,Manufacturing,,
2010,25-29,Manufacturing,,
2009,25-29,Manufacturing,,
2008,25-29,Manufacturing,,
2007,25-29,Manufacturing,,
2006,25-29,Manufacturing,,
2005,25-29,Manufacturing,,
2004,25-29,Manufacturing,,
2003,25-29,Manufacturing,,
2002,25-29,Manufacturing,,
2001,25-29,Manufacturing,,
2000,25-29,Manufacturing,,
2021,30-34,Manufacturing,,
2020,30-34,Manufacturing,,
2019,30-34,Manufacturing,,
2018,30-34,Manufacturing,,
2017,30-34,Manufacturing,,
2016,30-34,Manufacturing,,
2015,30-34,Manufacturing,,
2014,30-34,Manufacturing,,
2013,30-34,Manufacturing,,
2012,30-34,Manufacturing,,
2011,30-34,Manufacturing,,
2010,30-34,Manufacturing,,
2009,30-34,Manufacturing,,
2008,30-34,Manufacturing,,
2007,30-34,Manufacturing,,
2006,30-34,Manufacturing,,
2005,30-34,Manufacturing,,
2004,30-34,Manufacturing,,
2003,30-34,Manufacturing,,
2002,30-34,Manufacturing,,
2001,30-34,Manufacturing,,
2000,30-34,Manufacturing,,
2021,35-39,Manufacturing,,
2020,35-39,Manufacturing,,
2019,35-39,Manufacturing,,
2018,35-39,Manufacturing,,
2017,35-39,Manufacturing,,
2016,35-39,Manufacturing,,
2015,35-39,Manufacturing,,
2014,35-39,Manufacturing,,
2013,35-39,Manufacturing,,
2012,35-39,Manufacturing,,
2011,35-39,Manufacturing,,
2010,35-39,Manufacturing,,
2009,35-39,Manufacturing,,
2008,35-39,Manufacturing,,
2007,35-39,Manufacturing,,
2006,35-39,Manufacturing,,
2005,35-39,Manufacturing,,
2004,35-39,Manufacturing,,
2003,35-39,Manufacturing,,
2002,35-39,Manufacturing,,
2001,35-39,Manufacturing,,
2000,35-39,Manufacturing,,
2021,40-44,Manufacturing,,
2020,40-44,Manufacturing,,
2019,40-44,Manufacturing,,
2018,40-44,Manufacturing,,
2017,40-44,Manufacturing,,
2016,40-44,Manufacturing,,
2015,40-44,Manufacturing,,
2014,40-44,Manufacturing,,
2013,40-44,Manufacturing,,
2012,40-44,Manufacturing,,
2011,40-44,Manufacturing,,
2010,40-44,Manufacturing,,
2009,40-44,Manufacturing,,
2008,40-44,Manufacturing,,
2007,40-44,Manufacturing,,
2006,40-44,Manufacturing,,
2005,40-44,Manufacturing,,
2004,40-44,Manufacturing,,
2003,40-44,Manufacturing,,
2002,40-44,Manufacturing,,
2001,40-44,Manufacturing,,
2000,40-44,Manufacturing,,
2021,45-49,Manufacturing,,
2020,45-49,Manufacturing,,
2019,45-49,Manufacturing,,
2018,45-49,Manufacturing,,
2017,45-49,Manufacturing,,
2016,45-49,Manufacturing,,
2015,45-49,Manufacturing,,
2014,45-49,Manufacturing,,
2013,45-49,Manufacturing,,
2012,45-49,Manufacturing,,
2011,45-49,Manufacturing,,
2010,45-49,Manufacturing,,
2009,45-49,Manufacturing,,
2008,45-49,Manufacturing,,
2007,45-49,Manufacturing,,
2006,45-49,Manufacturing,,
2005,45-49,Manufacturing,,
2004,45-49,Manufacturing,,
2003,45-49,Manufacturing,,
2002,45-49,Manufacturing,,
2001,45-49,Manufacturing,,
2000,45-49,Manufacturing,,
2021,50-54,Manufacturing,,
2020,50-54,Manufacturing,,
2019,50-54,Manufacturing,,
2018,50-54,Manufacturing,,
2017,50-54,Manufacturing,,
2016,50-54,Manufacturing,,
2015,50-54,Manufacturing,,
2014,50-54,Manufacturing,,
2013,50-54,Manufacturing,,
2012,50-54,Manufacturing,,
2011,50-54,Manufacturing,,
2010,50-54,Manufacturing,,
2009,50-54,Manufacturing,,
2008,50-54,Manufacturing,,
2007,50-54,Manufacturing,,
2006,50-54,Manufacturing,,
2005,50-54,Manufacturing,,
2004,50-54,Manufacturing,,
2003,50-54,Manufacturing,,
2002,50-54,Manufacturing,,
2001,50-54,Manufacturing,,
2000,50-54,Manufacturing,,
2021,55-59,Manufacturing,,
2020,55-59,Manufacturing,,
2019,55-59,Manufacturing,,
2018,55-59,Manufacturing,,
2017,55-59,Manufacturing,,
2016,55-59,Manufacturing,,
2015,55-59,Manufacturing,,
2014,55-59,Manufacturing,,
2013,55-59,Manufacturing,,
2012,55-59,Manufacturing,,
2011,55-59,Manufacturing,,
2010,55-59,Manufacturing,,
2009,55-59,Manufacturing,,
2008,55-59,Manufacturing,,
2007,55-59,Manufacturing,,
2006,55-59,Manufacturing,,
2005,55-59,Manufacturing,,
2004,55-59,Manufacturing,,
2003,55-59,Manufacturing,,
2002,55-59,Manufacturing,,
2001,55-59,Manufacturing,,
2000,55-59,Manufacturing,,
2021,60-64,Manufacturing,,
2020,60-64,Manufacturing,,
2019,60-64,Manufacturing,,
2018,60-64,Manufacturing,,
2017,60-64,Manufacturing,,
2016,60-64,Manufacturing,,
2015,60-64,Manufacturing,,
2014,60-64,Manufacturing,,
2013,60-64,Manufacturing,,
2012,60-64,Manufacturing,,
2011,60-64,Manufacturing,,
2010,60-64,Manufacturing,,
2009,60-64,Manufacturing,,
2008,60-64,Manufacturing,,
2007,60-64,Manufacturing,,
2006,60-64,Manufacturing,,
2005,60-64,Manufacturing,,
2004,60-64,Manufacturing,,
2003,60-64,Manufacturing,,
2002,60-64,Manufacturing,,
2001,60-64,Manufacturing,,
2000,60-64,Manufacturing,,
2021,65 and older,Manufacturing,,
2020,65 and older,Manufacturing,,
2019,65 and older,Manufacturing,,
2018,65 and older,Manufacturing,,
2017,65 and older,Manufacturing,,
2016,65 and older,Manufacturing,,
2015,65 and older,Manufacturing,,
2014,65 and older,Manufacturing,,
2013,65 and older,Manufacturing,,
2012,65 and older,Manufacturing,,
2011,65 and older,Manufacturing,,
2010,65 and older,Manufacturing,,
2009,65 and older,Manufacturing,,
2008,65 and older,Manufacturing,,
2007,65 and older,Manufacturing,,
2006,65 and older,Manufacturing,,
2005,65 and older,Manufacturing,,
2004,65 and older,Manufacturing,,
2003,65 and older,Manufacturing,,
2002,65 and older,Manufacturing,,
2001,65 and older,Manufacturing,,
2000,65 and older,Manufacturing,,
2021,15-19,Construction,,
2020,15-19,Construction,,
2019,15-19,Construction,,
2018,15-19,Construction,,
2017,15-19,Construction,,
2016,15-19,Construction,,
2015,15-19,Construction,,
2014,15-19,Construction,,
2013,15-19,Construction,,
2012,15-19,Construction,,
2011,15-19,Construction,,
2010,15-19,Construction,,
2009,15-19,Construction,,
2008,15-19,Construction,,
2007,15-19,Construction,,
2006,15-19,Construction,,
2005,15-19,Construction,,
2004,15-19,Construction,,
2003,15-19,Construction,,
2002,15-19,Construction,,
2001,15-19,Construction,,
2000,15-19,Construction,,
2021,20-24,Construction,,
2020,20-24,Construction,,
2019,20-24,Construction,,
2018,20-24,Construction,,
2017,20-24,Construction,,
2016,20-24,Construction,,
2015,20-24,Construction,,
2014,20-24,Construction,,
2013,20-24,Construction,,
2012,20-24,Construction,,
2011,20-24,Construction,,
2010,20-24,Construction,,
2009,20-24,Construction,,
2008,20-24,Construction,,
2007,20-24,Construction,,
2006,20-24,Construction,,
2005,20-24,Construction,,
2004,20-24,Construction,,
2003,20-24,Construction,,
2002,20-24,Construction,,
2001,20-24,Construction,,
2000,20-24,Construction,,
2021,25-29,Construction,,
2020,25-29,Construction,,
2019,25-29,Construction,,
2018,25-29,Construction,,
2017,25-29,Construction,,
2016,25-29,Construction,,
2015,25-29,Construction,,
2014,25-29,Construction,,
2013,25-29,Construction,,
2012,25-29,Construction,,
2011,25-29,Construction,,
2010,25-29,Construction,,
2009,25-29,Construction,,
2008,25-29,Construction,,
2007,25-29,Construction,,
2006,25-29,Construction,,
2005,25-29,Construction,,
2004,25-29,Construction,,
2003,25-29,Construction,,
2002,25-29,Construction,,
2001,25-29,Construction,,
2000,25-29,Construction,,
2021,30-34,Construction,,
2020,30-34,Construction,,
2019,30-34,Construction,,
2018,30-34,Construction,,
2017,30-34,Construction,,
2016,30-34,Construction,,
2015,30-34,Construction,,
2014,30-34,Construction,,
2013,30-34,Construction,,
2012,30-34,Construction,,
2011,30-34,Construction,,
2010,30-34,Construction,,
2009,30-34,Construction,,
2008,30-34,Construction,,
2007,30-34,Construction,,
2006,30-34,Construction,,
2005,30-34,Construction,,
2004,30-34,Construction,,
2003,30-34,Construction,,
2002,30-34,Construction,,
2001,30-34,Construction,,
2000,30-34,Construction,,
2021,35-39,Construction,,
2020,35-39,Construction,,
2019,35-39,Construction,,
2018,35-39,Construction,,
2017,35-39,Construction,,
2016,35-39,Construction,,
2015,35-39,Construction,,
2014,35-39,Construction,,
2013,35-39,Construction,,
2012,35-39,Construction,,
2011,35-39,Construction,,
2010,35-39,Construction,,
2009,35-39,Construction,,
2008,35-39,Construction,,
2007,35-39,Construction,,
2006,35-39,Construction,,
2005,35-39,Construction,,
2004,35-39,Construction,,
2003,35-39,Construction,,
2002,35-39,Construction,,
2001,35-39,Construction,,
2000,35-39,Construction,,
2021,40-44,Construction,,
2020,40-44,Construction,,
2019,40-44,Construction,,
2018,40-44,Construction,,
2017,40-44,Construction,,
2016,40-44,Construction,,
2015,40-44,Construction,,
2014,40-44,Construction,,
2013,40-44,Construction,,
2012,40-44,Construction,,
2011,40-44,Construction,,
2010,40-44,Construction,,
2009,40-44,Construction,,
2008,40-44,Construction,,
2007,40-44,Construction,,
2006,40-44,Construction,,
2005,40-44,Construction,,
2004,40-44,Construction,,
2003,40-44,Construction,,
2002,40-44,Construction,,
2001,40-44,Construction,,
2000,40-44,Construction,,
2021,45-49,Construction,,
2020,45-49,Construction,,
2019,45-49,Construction,,
2018,45-49,Construction,,
2017,45-49,Construction,,
2016,45-49,Construction,,
2015,45-49,Construction,,
2014,45-49,Construction,,
2013,45-49,Construction,,
2012,45-49,Construction,,
2011,45-49,Construction,,
2010,45-49,Construction,,
2009,45-49,Construction,,
2008,45-49,Construction,,
2007,45-49,Construction,,
2006,45-49,Construction,,
2005,45-49,Construction,,
2004,45-49,Construction,,
2003,45-49,Construction,,
2002,45-49,Construction,,
2001,45-49,Construction,,
2000,45-49,Construction,,
2021,50-54,Construction,,
2020,50-54,Construction,,
2019,50-54,Construction,,
2018,50-54,Construction,,
2017,50-54,Construction,,
2016,50-54,Construction,,
2015,50-54,Construction,,
2014,50-54,Construction,,
2013,50-54,Construction,,
2012,50-54,Construction,,
2011,50-54,Construction,,
2010,50-54,Construction,,
2009,50-54,Construction,,
2008,50-54,Construction,,
2007,50-54,Construction,,
2006,50-54,Construction,,
2005,50-54,Construction,,
2004,50-54,Construction,,
2003,50-54,Construction,,
2002,50-54,Construction,,
2001,50-54,Construction,,
2000,50-54,Construction,,
2021,55-59,Construction,,
2020,55-59,Construction,,
2019,55-59,Construction,,
2018,55-59,Construction,,
2017,55-59,Construction,,
2016,55-59,Construction,,
2015,55-59,Construction,,
2014,55-59,Construction,,
2013,55-59,Construction,,
2012,55-59,Construction,,
2011,55-59,Construction,,
2010,55-59,Construction,,
2009,55-59,Construction,,
2008,55-59,Construction,,
2007,55-59,Construction,,
2006,55-59,Construction,,
2005,55-59,Construction,,
2004,55-59,Construction,,
2003,55-59,Construction,,
2002,55-59,Construction,,
2001,55-59,Construction,,
2000,55-59,Construction,,
2021,60-64,Construction,,
2020,60-64,Construction,,
2019,60-64,Construction,,
2018,60-64,Construction,,
2017,60-64,Construction,,
2016,60-64,Construction,,
2015,60-64,Construction,,
2014,60-64,Construction,,
2013,60-64,Construction,,
2012,60-64,Construction,,
2011,60-64,Construction,,
2010,60-64,Construction,,
2009,60-64,Construction,,
2008,60-64,Construction,,
2007,60-64,Construction,,
2006,60-64,Construction,,
2005,60-64,Construction,,
2004,60-64,Construction,,
2003,60-64,Construction,,
2002,60-64,Construction,,
2001,60-64,Construction,,
2000,60-64,Construction,,
2021,65 and older,Construction,,
2020,65 and older,Construction,,
2019,65 and older,Construction,,
2018,65 and older,Construction,,
2017,65 and older,Construction,,
2016,65 and older,Construction,,
2015,65 and older,Construction,,
2014,65 and older,Construction,,
2013,65 and older,Construction,,
2012,65 and older,Construction,,
2011,65 and older,Construction,,
2010,65 and older,Construction,,
2009,65 and older,Construction,,
2008,65 and older,Construction,,
2007,65 and older,Construction,,
2006,65 and older,Construction,,
2005,65 and older,Construction,,
2004,65 and older,Construction,,
2003,65 and older,Construction,,
2002,65 and older,Construction,,
2001,65 and older,Construction,,
2000,65 and older,Construction,,
2021,15-19,Wholesale & Retail Trade,,
2020,15-19,Wholesale & Retail Trade,,
2019,15-19,Wholesale & Retail Trade,,
2018,15-19,Wholesale & Retail Trade,,
2017,15-19,Wholesale & Retail Trade,,
2016,15-19,Wholesale & Retail Trade,,
2015,15-19,Wholesale & Retail Trade,,
2014,15-19,Wholesale & Retail Trade,,
2013,15-19,Wholesale & Retail Trade,,
2012,15-19,Wholesale & Retail Trade,,
2011,15-19,Wholesale & Retail Trade,,
2010,15-19,Wholesale & Retail Trade,,
2009,15-19,Wholesale & Retail Trade,,
2008,15-19,Wholesale & Retail Trade,,
2007,15-19,Wholesale & Retail Trade,,
2006,15-19,Wholesale & Retail Trade,,
2005,15-19,Wholesale & Retail Trade,,
2004,15-19,Wholesale & Retail Trade,,
2003,15-19,Wholesale & Retail Trade,,
2002,15-19,Wholesale & Retail Trade,,
2001,15-19,Wholesale & Retail Trade,,
2000,15-19,Wholesale & Retail Trade,,
2021,20-24,Wholesale & Retail Trade,,
2020,20-24,Wholesale & Retail Trade,,
2019,20-24,Wholesale & Retail Trade,,
2018,20-24,Wholesale & Retail Trade,,
2017,20-24,Wholesale & Retail Trade,,
2016,20-24,Wholesale & Retail Trade,,
2015,20-24,Wholesale & Retail Trade,,
2014,20-24,Wholesale & Retail Trade,,
2013,20-24,Wholesale & Retail Trade,,
2012,20-24,Wholesale & Retail Trade,,
2011,20-24,Wholesale & Retail Trade,,
2010,20-24,Wholesale & Retail Trade,,
2009,20-24,Wholesale & Retail Trade,,
2008,20-24,Wholesale & Retail Trade,,
2007,20-24,Wholesale & Retail Trade,,
2006,20-24,Wholesale & Retail Trade,,
2005,20-24,Wholesale & Retail Trade,,
2004,20-24,Wholesale & Retail Trade,,
2003,20-24,Wholesale & Retail Trade,,
2002,20-24,Wholesale & Retail Trade,,
2001,20-24,Wholesale & Retail Trade,,
2000,20-24,Wholesale & Retail Trade,,
2021,25-29,Wholesale & Retail Trade,,
2020,25-29,Wholesale & Retail Trade,,
2019,25-29,Wholesale & Retail Trade,,
2018,25-29,Wholesale & Retail Trade,,
2017,25-29,Wholesale & Retail Trade,,
2016,25-29,Wholesale & Retail Trade,,
2015,25-29,Wholesale & Retail Trade,,
2014,25-29,Wholesale & Retail Trade,,
2013,25-29,Wholesale & Retail Trade,,
2012,25-29,Wholesale & Retail Trade,,
2011,25-29,Wholesale & Retail Trade,,
2010,25-29,Wholesale & Retail Trade,,
2009,25-29,Wholesale & Retail Trade,,
2008,25-29,Wholesale & Retail Trade,,
2007,25-29,Wholesale & Retail Trade,,
2006,25-29,Wholesale & Retail Trade,,
2005,25-29,Wholesale & Retail Trade,,
2004,25-29,Wholesale & Retail Trade,,
2003,25-29,Wholesale & Retail Trade,,
2002,25-29,Wholesale & Retail Trade,,
2001,25-29,Wholesale & Retail Trade,,
2000,25-29,Wholesale & Retail Trade,,
2021,30-34,Wholesale & Retail Trade,,
2020,30-34,Wholesale & Retail Trade,,
2019,30-34,Wholesale & Retail Trade,,
2018,30-34,Wholesale & Retail Trade,,
2017,30-34,Wholesale & Retail Trade,,
2016,30-34,Wholesale & Retail Trade,,
2015,30-34,Wholesale & Retail Trade,,
2014,30-34,Wholesale & Retail Trade,,
2013,30-34,Wholesale & Retail Trade,,
2012,30-34,Wholesale & Retail Trade,,
2011,30-34,Wholesale & Retail Trade,,
2010,30-34,Wholesale & Retail Trade,,
2009,30-34,Wholesale & Retail Trade,,
2008,30-34,Wholesale & Retail Trade,,
2007,30-34,Wholesale & Retail Trade,,
2006,30-34,Wholesale & Retail Trade,,
2005,30-34,Wholesale & Retail Trade,,
2004,30-34,Wholesale & Retail Trade,,
2003,30-34,Wholesale & Retail Trade,,
2002,30-34,Wholesale & Retail Trade,,
2001,30-34,Wholesale & Retail Trade,,
2000,30-34,Wholesale & Retail Trade,,
2021,35-39,Wholesale & Retail Trade,,
2020,35-39,Wholesale & Retail Trade,,
2019,35-39,Wholesale & Retail Trade,,
2018,35-39,Wholesale & Retail Trade,,
2017,35-39,Wholesale & Retail Trade,,
2016,35-39,Wholesale & Retail Trade,,
2015,35-39,Wholesale & Retail Trade,,
2014,35-39,Wholesale & Retail Trade,,
2013,35-39,Wholesale & Retail Trade,,
2012,35-39,Wholesale & Retail Trade,,
2011,35-39,Wholesale & Retail Trade,,
2010,35-39,Wholesale & Retail Trade,,
2009,35-39,Wholesale & Retail Trade,,
2008,35-39,Wholesale & Retail Trade,,
2007,35-39,Wholesale & Retail Trade,,
2006,35-39,Wholesale & Retail Trade,,
2005,35-39,Wholesale & Retail Trade,,
2004,35-39,Wholesale & Retail Trade,,
2003,35-39,Wholesale & Retail Trade,,
2002,35-39,Wholesale & Retail Trade,,
2001,35-39,Wholesale & Retail Trade,,
2000,35-39,Wholesale & Retail Trade,,
2021,40-44,Wholesale & Retail Trade,,
2020,40-44,Wholesale & Retail Trade,,
2019,40-44,Wholesale & Retail Trade,,
2018,40-44,Wholesale & Retail Trade,,
2017,40-44,Wholesale & Retail Trade,,
2016,40-44,Wholesale & Retail Trade,,
2015,40-44,Wholesale & Retail Trade,,
2014,40-44,Wholesale & Retail Trade,,
2013,40-44,Wholesale & Retail Trade,,
2012,40-44,Wholesale & Retail Trade,,
2011,40-44,Wholesale & Retail Trade,,
2010,40-44,Wholesale & Retail Trade,,
2009,40-44,Wholesale & Retail Trade,,
2008,40-44,Wholesale & Retail Trade,,
2007,40-44,Wholesale & Retail Trade,,
2006,40-44,Wholesale & Retail Trade,,
2005,40-44,Wholesale & Retail Trade,,
2004,40-44,Wholesale & Retail Trade,,
2003,40-44,Wholesale & Retail Trade,,
2002,40-44,Wholesale & Retail Trade,,
2001,40-44,Wholesale & Retail Trade,,
2000,40-44,Wholesale & Retail Trade,,
2021,45-49,Wholesale & Retail Trade,,
2020,45-49,Wholesale & Retail Trade,,
2019,45-49,Wholesale & Retail Trade,,
2018,45-49,Wholesale & Retail Trade,,
2017,45-49,Wholesale & Retail Trade,,
2016,45-49,Wholesale & Retail Trade,,
2015,45-49,Wholesale & Retail Trade,,
2014,45-49,Wholesale & Retail Trade,,
2013,45-49,Wholesale & Retail Trade,,
2012,45-49,Wholesale & Retail Trade,,
2011,45-49,Wholesale & Retail Trade,,
2010,45-49,Wholesale & Retail Trade,,
2009,45-49,Wholesale & Retail Trade,,
2008,45-49,Wholesale & Retail Trade,,
2007,45-49,Wholesale & Retail Trade,,
2006,45-49,Wholesale & Retail Trade,,
2005,45-49,Wholesale & Retail Trade,,
2004,45-49,Wholesale & Retail Trade,,
2003,45-49,Wholesale & Retail Trade,,
2002,45-49,Wholesale & Retail Trade,,
2001,45-49,Wholesale & Retail Trade,,
2000,45-49,Wholesale & Retail Trade,,
2021,50-54,Wholesale & Retail Trade,,
2020,50-54,Wholesale & Retail Trade,,
2019,50-54,Wholesale & Retail Trade,,
2018,50-54,Wholesale & Retail Trade,,
2017,50-54,Wholesale & Retail Trade,,
2016,50-54,Wholesale & Retail Trade,,
2015,50-54,Wholesale & Retail Trade,,
2014,50-54,Wholesale & Retail Trade,,
2013,50-54,Wholesale & Retail Trade,,
2012,50-54,Wholesale & Retail Trade,,
2011,50-54,Wholesale & Retail Trade,,
2010,50-54,Wholesale & Retail Trade,,
2009,50-54,Wholesale & Retail Trade,,
2008,50-54,Wholesale & Retail Trade,,
2007,50-54,Wholesale & Retail Trade,,
2006,50-54,Wholesale & Retail Trade,,
2005,50-54,Wholesale & Retail Trade,,
2004,50-54,Wholesale & Retail Trade,,
2003,50-54,Wholesale & Retail Trade,,
2002,50-54,Wholesale & Retail Trade,,
2001,50-54,Wholesale & Retail Trade,,
2000,50-54,Wholesale & Retail Trade,,
2021,55-59,Wholesale & Retail Trade,,
2020,55-59,Wholesale & Retail Trade,,
2019,55-59,Wholesale & Retail Trade,,
2018,55-59,Wholesale & Retail Trade,,
2017,55-59,Wholesale & Retail Trade,,
2016,55-59,Wholesale & Retail Trade,,
2015,55-59,Wholesale & Retail Trade,,
2014,55-59,Wholesale & Retail Trade,,
2013,55-59,Wholesale & Retail Trade,,
2012,55-59,Wholesale & Retail Trade,,
2011,55-59,Wholesale & Retail Trade,,
2010,55-59,Wholesale & Retail Trade,,
2009,55-59,Wholesale & Retail Trade,,
2008,55-59,Wholesale & Retail Trade,,
2007,55-59,Wholesale & Retail Trade,,
2006,55-59,Wholesale & Retail Trade,,
2005,55-59,Wholesale & Retail Trade,,
2004,55-59,Wholesale & Retail Trade,,
2003,55-59,Wholesale & Retail Trade,,
2002,55-59,Wholesale & Retail Trade,,
2001,55-59,Wholesale & Retail Trade,,
2000,55-59,Wholesale & Retail Trade,,
2021,60-64,Wholesale & Retail Trade,,
2020,60-64,Wholesale & Retail Trade,,
2019,60-64,Wholesale & Retail Trade,,
2018,60-64,Wholesale & Retail Trade,,
2017,60-64,Wholesale & Retail Trade,,
2016,60-64,Wholesale & Retail Trade,,
2015,60-64,Wholesale & Retail Trade,,
2014,60-64,Wholesale & Retail Trade,,
2013,60-64,Wholesale & Retail Trade,,
2012,60-64,Wholesale & Retail Trade,,
2011,60-64,Wholesale & Retail Trade,,
2010,60-64,Wholesale & Retail Trade,,
2009,60-64,Wholesale & Retail Trade,,
2008,60-64,Wholesale & Retail Trade,,
2007,60-64,Wholesale & Retail Trade,,
2006,60-64,Wholesale & Retail Trade,,
2005,60-64,Wholesale & Retail Trade,,
2004,60-64,Wholesale & Retail Trade,,
