year,industry,numberOfWorkers,sex,age
2012,"Arts, Entertainment & Recreation",2200,female,25 - 29
2011,"Arts, Entertainment & Recreation",2500,female,25 - 29
2010,"Arts, Entertainment & Recreation",2000,female,25 - 29
2009,"Arts, Entertainment & Recreation",1400,female,25 - 29
2008,"Arts, Entertainment & Recreation",900,female,25 - 29
2007,"Arts, Entertainment & Recreation",1500,female,25 - 29
2006,"Arts, Entertainment & Recreation",1700,female,25 - 29
2005,"Arts, Entertainment & Recreation",1100,female,25 - 29
2004,"Arts, Entertainment & Recreation",1100,female,25 - 29
2003,"Arts, Entertainment & Recreation",900,female,25 - 29
2002,"Arts, Entertainment & Recreation",800,female,25 - 29
2001,"Arts, Entertainment & Recreation",700,female,25 - 29
2000,"Arts, Entertainment & Recreation",1300,female,25 - 29
2021,"Other Community, Social & Personal Services",3900,female,25 - 29
2020,"Other Community, Social & Personal Services",2900,female,25 - 29
2019,"Other Community, Social & Personal Services",2700,female,25 - 29
2018,"Other Community, Social & Personal Services",3200,female,25 - 29
2017,"Other Community, Social & Personal Services",2500,female,25 - 29
2016,"Other Community, Social & Personal Services",3000,female,25 - 29
2015,"Other Community, Social & Personal Services",3900,female,25 - 29
2014,"Other Community, Social & Personal Services",2800,female,25 - 29
2013,"Other Community, Social & Personal Services",2900,female,25 - 29
2012,"Other Community, Social & Personal Services",2200,female,25 - 29
2011,"Other Community, Social & Personal Services",2900,female,25 - 29
2010,"Other Community, Social & Personal Services",2700,female,25 - 29
2009,"Other Community, Social & Personal Services",2500,female,25 - 29
2008,"Other Community, Social & Personal Services",3300,female,25 - 29
2007,"Other Community, Social & Personal Services",2400,female,25 - 29
2006,"Other Community, Social & Personal Services",2700,female,25 - 29
2005,"Other Community, Social & Personal Services",2600,female,25 - 29
2004,"Other Community, Social & Personal Services",2200,female,25 - 29
2003,"Other Community, Social & Personal Services",2600,female,25 - 29
2002,"Other Community, Social & Personal Services",2300,female,25 - 29
2001,"Other Community, Social & Personal Services",2300,female,25 - 29
2000,"Other Community, Social & Personal Services",2500,female,25 - 29
