year,age,sex,industry,numberOfWorkers,,,,,,,,,,,,,,,
2019,45-49,male,Real Estate Services,2600,,,,,,,,,,,,,,,
2018,45-49,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2017,45-49,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2016,45-49,male,Real Estate Services,3200,,,,,,,,,,,,,,,
2015,45-49,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2014,45-49,male,Real Estate Services,3600,,,,,,,,,,,,,,,
2013,45-49,male,Real Estate Services,2900,,,,,,,,,,,,,,,
2012,45-49,male,Real Estate Services,3900,,,,,,,,,,,,,,,
2011,45-49,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2010,45-49,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2009,45-49,male,Real Estate Services,3200,,,,,,,,,,,,,,,
2008,45-49,male,Real Estate Services,4000,,,,,,,,,,,,,,,
2007,45-49,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2006,45-49,male,Real Estate Services,4200,,,,,,,,,,,,,,,
2005,45-49,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2004,45-49,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2003,45-49,male,Real Estate Services,2300,,,,,,,,,,,,,,,
2002,45-49,male,Real Estate Services,3800,,,,,,,,,,,,,,,
2001,45-49,male,Real Estate Services,3600,,,,,,,,,,,,,,,
2000,45-49,male,Real Estate Services,3700,,,,,,,,,,,,,,,
2021,50-54,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2020,50-54,male,Real Estate Services,2400,,,,,,,,,,,,,,,
2019,50-54,male,Real Estate Services,3100,,,,,,,,,,,,,,,
2018,50-54,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2017,50-54,male,Real Estate Services,3500,,,,,,,,,,,,,,,
2016,50-54,male,Real Estate Services,4100,,,,,,,,,,,,,,,
2015,50-54,male,Real Estate Services,4200,,,,,,,,,,,,,,,
2014,50-54,male,Real Estate Services,3500,,,,,,,,,,,,,,,
2013,50-54,male,Real Estate Services,4100,,,,,,,,,,,,,,,
2012,50-54,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2011,50-54,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2010,50-54,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2009,50-54,male,Real Estate Services,2500,,,,,,,,,,,,,,,
2008,50-54,male,Real Estate Services,2800,,,,,,,,,,,,,,,
2007,50-54,male,Real Estate Services,3100,,,,,,,,,,,,,,,
2006,50-54,male,Real Estate Services,2600,,,,,,,,,,,,,,,
2005,50-54,male,Real Estate Services,2400,,,,,,,,,,,,,,,
2004,50-54,male,Real Estate Services,2500,,,,,,,,,,,,,,,
2003,50-54,male,Real Estate Services,2900,,,,,,,,,,,,,,,
2002,50-54,male,Real Estate Services,2300,,,,,,,,,,,,,,,
2001,50-54,male,Real Estate Services,2100,,,,,,,,,,,,,,,
2000,50-54,male,Real Estate Services,2400,,,,,,,,,,,,,,,
2021,55-59,male,Real Estate Services,2100,,,,,,,,,,,,,,,
2020,55-59,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2019,55-59,male,Real Estate Services,3900,,,,,,,,,,,,,,,
2018,55-59,male,Real Estate Services,3900,,,,,,,,,,,,,,,
2017,55-59,male,Real Estate Services,4000,,,,,,,,,,,,,,,
2016,55-59,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2015,55-59,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2014,55-59,male,Real Estate Services,3100,,,,,,,,,,,,,,,
2013,55-59,male,Real Estate Services,2800,,,,,,,,,,,,,,,
2012,55-59,male,Real Estate Services,3400,,,,,,,,,,,,,,,
2011,55-59,male,Real Estate Services,3000,,,,,,,,,,,,,,,
2010,55-59,male,Real Estate Services,2300,,,,,,,,,,,,,,,
2009,55-59,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2008,55-59,male,Real Estate Services,2400,,,,,,,,,,,,,,,
2007,55-59,male,Real Estate Services,2300,,,,,,,,,,,,,,,
2006,55-59,male,Real Estate Services,1700,,,,,,,,,,,,,,,
2005,55-59,male,Real Estate Services,1700,,,,,,,,,,,,,,,
2004,55-59,male,Real Estate Services,1500,,,,,,,,,,,,,,,
2003,55-59,male,Real Estate Services,1500,,,,,,,,,,,,,,,
2002,55-59,male,Real Estate Services,1500,,,,,,,,,,,,,,,
2001,55-59,male,Real Estate Services,800,,,,,,,,,,,,,,,
2000,55-59,male,Real Estate Services,1100,,,,,,,,,,,,,,,
2021,60-64,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2020,60-64,male,Real Estate Services,2400,,,,,,,,,,,,,,,
2019,60-64,male,Real Estate Services,2200,,,,,,,,,,,,,,,
2018,60-64,male,Real Estate Services,3200,,,,,,,,,,,,,,,
2017,60-64,male,Real Estate Services,3200,,,,,,,,,,,,,,,
2016,60-64,male,Real Estate Services,3600,,,,,,,,,,,,,,,
2015,60-64,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2014,60-64,male,Real Estate Services,2800,,,,,,,,,,,,,,,
2013,60-64,male,Real Estate Services,2100,,,,,,,,,,,,,,,
2012,60-64,male,Real Estate Services,2600,,,,,,,,,,,,,,,
2011,60-64,male,Real Estate Services,1500,,,,,,,,,,,,,,,
2010,60-64,male,Real Estate Services,1500,,,,,,,,,,,,,,,
2009,60-64,male,Real Estate Services,2000,,,,,,,,,,,,,,,
2008,60-64,male,Real Estate Services,800,,,,,,,,,,,,,,,
2007,60-64,male,Real Estate Services,1000,,,,,,,,,,,,,,,
2006,60-64,male,Real Estate Services,800,,,,,,,,,,,,,,,
2005,60-64,male,Real Estate Services,600,,,,,,,,,,,,,,,
2004,60-64,male,Real Estate Services,500,,,,,,,,,,,,,,,
2003,60-64,male,Real Estate Services,300,,,,,,,,,,,,,,,
2002,60-64,male,Real Estate Services,400,,,,,,,,,,,,,,,
2001,60-64,male,Real Estate Services,600,,,,,,,,,,,,,,,
2000,60-64,male,Real Estate Services,700,,,,,,,,,,,,,,,
2021,65 and older,male,Real Estate Services,3700,,,,,,,,,,,,,,,
2020,65 and older,male,Real Estate Services,2800,,,,,,,,,,,,,,,
2019,65 and older,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2018,65 and older,male,Real Estate Services,2400,,,,,,,,,,,,,,,
2017,65 and older,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2016,65 and older,male,Real Estate Services,2700,,,,,,,,,,,,,,,
2015,65 and older,male,Real Estate Services,2600,,,,,,,,,,,,,,,
2014,65 and older,male,Real Estate Services,2300,,,,,,,,,,,,,,,
2013,65 and older,male,Real Estate Services,1700,,,,,,,,,,,,,,,
2012,65 and older,male,Real Estate Services,1600,,,,,,,,,,,,,,,
2011,65 and older,male,Real Estate Services,1100,,,,,,,,,,,,,,,
2010,65 and older,male,Real Estate Services,700,,,,,,,,,,,,,,,
2009,65 and older,male,Real Estate Services,1200,,,,,,,,,,,,,,,
2008,65 and older,male,Real Estate Services,500,,,,,,,,,,,,,,,
2007,65 and older,male,Real Estate Services,700,,,,,,,,,,,,,,,
2006,65 and older,male,Real Estate Services,600,,,,,,,,,,,,,,,
2005,65 and older,male,Real Estate Services,500,,,,,,,,,,,,,,,
2004,65 and older,male,Real Estate Services,400,,,,,,,,,,,,,,,
2003,65 and older,male,Real Estate Services,600,,,,,,,,,,,,,,,
2002,65 and older,male,Real Estate Services,500,,,,,,,,,,,,,,,
2001,65 and older,male,Real Estate Services,200,,,,,,,,,,,,,,,
2000,65 and older,male,Real Estate Services,600,,,,,,,,,,,,,,,
2021,15-19,female,Professional Services,600,,,,,,,,,,,,,,,
2020,15-19,female,Professional Services,400,,,,,,,,,,,,,,,
2019,15-19,female,Professional Services,600,,,,,,,,,,,,,,,
2018,15-19,female,Professional Services,600,,,,,,,,,,,,,,,
2017,15-19,female,Professional Services,400,,,,,,,,,,,,,,,
2016,15-19,female,Professional Services,500,,,,,,,,,,,,,,,
2015,15-19,female,Professional Services,900,,,,,,,,,,,,,,,
2014,15-19,female,Professional Services,700,,,,,,,,,,,,,,,
2013,15-19,female,Professional Services,600,,,,,,,,,,,,,,,
2012,15-19,female,Professional Services,700,,,,,,,,,,,,,,,
2011,15-19,female,Professional Services,600,,,,,,,,,,,,,,,
2010,15-19,female,Professional Services,700,,,,,,,,,,,,,,,
2009,15-19,female,Professional Services,500,,,,,,,,,,,,,,,
2008,15-19,female,Professional Services,600,,,,,,,,,,,,,,,
2007,15-19,female,Professional Services,500,,,,,,,,,,,,,,,
2006,15-19,female,Professional Services,500,,,,,,,,,,,,,,,
2005,15-19,female,Professional Services,200,,,,,,,,,,,,,,,
2004,15-19,female,Professional Services,200,,,,,,,,,,,,,,,
2003,15-19,female,Professional Services,300,,,,,,,,,,,,,,,
2002,15-19,female,Professional Services,300,,,,,,,,,,,,,,,
2001,15-19,female,Professional Services,200,,,,,,,,,,,,,,,
2000,15-19,female,Professional Services,400,,,,,,,,,,,,,,,
2021,20-24,female,Professional Services,8700,,,,,,,,,,,,,,,
2020,20-24,female,Professional Services,6200,,,,,,,,,,,,,,,
2019,20-24,female,Professional Services,7400,,,,,,,,,,,,,,,
2018,20-24,female,Professional Services,7500,,,,,,,,,,,,,,,
2017,20-24,female,Professional Services,6400,,,,,,,,,,,,,,,
2016,20-24,female,Professional Services,8000,,,,,,,,,,,,,,,
2015,20-24,female,Professional Services,8700,,,,,,,,,,,,,,,
2014,20-24,female,Professional Services,6700,,,,,,,,,,,,,,,
2013,20-24,female,Professional Services,5700,,,,,,,,,,,,,,,
2012,20-24,female,Professional Services,7400,,,,,,,,,,,,,,,
2011,20-24,female,Professional Services,6800,,,,,,,,,,,,,,,
2010,20-24,female,Professional Services,6600,,,,,,,,,,,,,,,
2009,20-24,female,Professional Services,4800,,,,,,,,,,,,,,,
2008,20-24,female,Professional Services,7000,,,,,,,,,,,,,,,
2007,20-24,female,Professional Services,5800,,,,,,,,,,,,,,,
2006,20-24,female,Professional Services,6500,,,,,,,,,,,,,,,
2005,20-24,female,Professional Services,5300,,,,,,,,,,,,,,,
2004,20-24,female,Professional Services,4900,,,,,,,,,,,,,,,
2003,20-24,female,Professional Services,3700,,,,,,,,,,,,,,,
2002,20-24,female,Professional Services,3700,,,,,,,,,,,,,,,
2001,20-24,female,Professional Services,5400,,,,,,,,,,,,,,,
2000,20-24,female,Professional Services,5100,,,,,,,,,,,,,,,
2021,25-29,female,Professional Services,16300,,,,,,,,,,,,,,,
2020,25-29,female,Professional Services,13700,,,,,,,,,,,,,,,
2019,25-29,female,Professional Services,14000,,,,,,,,,,,,,,,
2018,25-29,female,Professional Services,13000,,,,,,,,,,,,,,,
2017,25-29,female,Professional Services,13100,,,,,,,,,,,,,,,
2016,25-29,female,Professional Services,13400,,,,,,,,,,,,,,,
2015,25-29,female,Professional Services,12700,,,,,,,,,,,,,,,
2014,25-29,female,Professional Services,12000,,,,,,,,,,,,,,,
2013,25-29,female,Professional Services,10400,,,,,,,,,,,,,,,
2012,25-29,female,Professional Services,9400,,,,,,,,,,,,,,,
2011,25-29,female,Professional Services,9200,,,,,,,,,,,,,,,
2010,25-29,female,Professional Services,10100,,,,,,,,,,,,,,,
2009,25-29,female,Professional Services,10600,,,,,,,,,,,,,,,
2008,25-29,female,Professional Services,9000,,,,,,,,,,,,,,,
2007,25-29,female,Professional Services,9200,,,,,,,,,,,,,,,
2006,25-29,female,Professional Services,10300,,,,,,,,,,,,,,,
2005,25-29,female,Professional Services,9100,,,,,,,,,,,,,,,
2004,25-29,female,Professional Services,6700,,,,,,,,,,,,,,,
2003,25-29,female,Professional Services,7800,,,,,,,,,,,,,,,
2002,25-29,female,Professional Services,8700,,,,,,,,,,,,,,,
2001,25-29,female,Professional Services,8500,,,,,,,,,,,,,,,
2000,25-29,female,Professional Services,8900,,,,,,,,,,,,,,,
2021,30-34,female,Professional Services,15900,,,,,,,,,,,,,,,
2020,30-34,female,Professional Services,13200,,,,,,,,,,,,,,,
2019,30-34,female,Professional Services,13700,,,,,,,,,,,,,,,
2018,30-34,female,Professional Services,11000,,,,,,,,,,,,,,,
2017,30-34,female,Professional Services,12500,,,,,,,,,,,,,,,
2016,30-34,female,Professional Services,11100,,,,,,,,,,,,,,,
2015,30-34,female,Professional Services,12000,,,,,,,,,,,,,,,
2014,30-34,female,Professional Services,11800,,,,,,,,,,,,,,,
2013,30-34,female,Professional Services,11600,,,,,,,,,,,,,,,
2012,30-34,female,Professional Services,10700,,,,,,,,,,,,,,,
2011,30-34,female,Professional Services,10500,,,,,,,,,,,,,,,
2010,30-34,female,Professional Services,8800,,,,,,,,,,,,,,,
2009,30-34,female,Professional Services,8300,,,,,,,,,,,,,,,
2008,30-34,female,Professional Services,9800,,,,,,,,,,,,,,,
2007,30-34,female,Professional Services,8900,,,,,,,,,,,,,,,
2006,30-34,female,Professional Services,8500,,,,,,,,,,,,,,,
2005,30-34,female,Professional Services,9400,,,,,,,,,,,,,,,
2004,30-34,female,Professional Services,6500,,,,,,,,,,,,,,,
2003,30-34,female,Professional Services,6600,,,,,,,,,,,,,,,
2002,30-34,female,Professional Services,5800,,,,,,,,,,,,,,,
2001,30-34,female,Professional Services,5600,,,,,,,,,,,,,,,
2000,30-34,female,Professional Services,6600,,,,,,,,,,,,,,,
2021,35-39,female,Professional Services,13400,,,,,,,,,,,,,,,
2020,35-39,female,Professional Services,11800,,,,,,,,,,,,,,,
2019,35-39,female,Professional Services,13100,,,,,,,,,,,,,,,
2018,35-39,female,Professional Services,11600,,,,,,,,,,,,,,,
2017,35-39,female,Professional Services,11200,,,,,,,,,,,,,,,
2016,35-39,female,Professional Services,10100,,,,,,,,,,,,,,,
2015,35-39,female,Professional Services,12300,,,,,,,,,,,,,,,
2014,35-39,female,Professional Services,9800,,,,,,,,,,,,,,,
2013,35-39,female,Professional Services,9600,,,,,,,,,,,,,,,
2012,35-39,female,Professional Services,10100,,,,,,,,,,,,,,,
2011,35-39,female,Professional Services,9800,,,,,,,,,,,,,,,
2010,35-39,female,Professional Services,8100,,,,,,,,,,,,,,,
2009,35-39,female,Professional Services,8100,,,,,,,,,,,,,,,
2008,35-39,female,Professional Services,8800,,,,,,,,,,,,,,,
2007,35-39,female,Professional Services,7000,,,,,,,,,,,,,,,
2006,35-39,female,Professional Services,7900,,,,,,,,,,,,,,,
2005,35-39,female,Professional Services,7000,,,,,,,,,,,,,,,
2004,35-39,female,Professional Services,4800,,,,,,,,,,,,,,,
2003,35-39,female,Professional Services,4800,,,,,,,,,,,,,,,
2002,35-39,female,Professional Services,4400,,,,,,,,,,,,,,,
2001,35-39,female,Professional Services,5100,,,,,,,,,,,,,,,
2000,35-39,female,Professional Services,5400,,,,,,,,,,,,,,,
2021,40-44,female,Professional Services,11600,,,,,,,,,,,,,,,
2020,40-44,female,Professional Services,11100,,,,,,,,,,,,,,,
2019,40-44,female,Professional Services,11000,,,,,,,,,,,,,,,
2018,40-44,female,Professional Services,10400,,,,,,,,,,,,,,,
2017,40-44,female,Professional Services,13100,,,,,,,,,,,,,,,
2016,40-44,female,Professional Services,10100,,,,,,,,,,,,,,,
2015,40-44,female,Professional Services,9900,,,,,,,,,,,,,,,
2014,40-44,female,Professional Services,10400,,,,,,,,,,,,,,,
2013,40-44,female,Professional Services,10600,,,,,,,,,,,,,,,
2012,40-44,female,Professional Services,8400,,,,,,,,,,,,,,,
2011,40-44,female,Professional Services,9000,,,,,,,,,,,,,,,
2010,40-44,female,Professional Services,5800,,,,,,,,,,,,,,,
2009,40-44,female,Professional Services,6100,,,,,,,,,,,,,,,
2008,40-44,female,Professional Services,6100,,,,,,,,,,,,,,,
2007,40-44,female,Professional Services,5800,,,,,,,,,,,,,,,
2006,40-44,female,Professional Services,6300,,,,,,,,,,,,,,,
2005,40-44,female,Professional Services,5700,,,,,,,,,,,,,,,
2004,40-44,female,Professional Services,4300,,,,,,,,,,,,,,,
2003,40-44,female,Professional Services,4300,,,,,,,,,,,,,,,
2002,40-44,female,Professional Services,4100,,,,,,,,,,,,,,,
2001,40-44,female,Professional Services,3100,,,,,,,,,,,,,,,
2000,40-44,female,Professional Services,4000,,,,,,,,,,,,,,,
2021,45-49,female,Professional Services,9200,,,,,,,,,,,,,,,
2020,45-49,female,Professional Services,10600,,,,,,,,,,,,,,,
2019,45-49,female,Professional Services,10100,,,,,,,,,,,,,,,
2018,45-49,female,Professional Services,9200,,,,,,,,,,,,,,,
2017,45-49,female,Professional Services,8300,,,,,,,,,,,,,,,
2016,45-49,female,Professional Services,9000,,,,,,,,,,,,,,,
2015,45-49,female,Professional Services,7700,,,,,,,,,,,,,,,
2014,45-49,female,Professional Services,6900,,,,,,,,,,,,,,,
2013,45-49,female,Professional Services,7700,,,,,,,,,,,,,,,
2012,45-49,female,Professional Services,6900,,,,,,,,,,,,,,,
2011,45-49,female,Professional Services,6700,,,,,,,,,,,,,,,
2010,45-49,female,Professional Services,5600,,,,,,,,,,,,,,,
2009,45-49,female,Professional Services,5200,,,,,,,,,,,,,,,
2008,45-49,female,Professional Services,4800,,,,,,,,,,,,,,,
2007,45-49,female,Professional Services,4900,,,,,,,,,,,,,,,
2006,45-49,female,Professional Services,4600,,,,,,,,,,,,,,,
2005,45-49,female,Professional Services,4100,,,,,,,,,,,,,,,
2004,45-49,female,Professional Services,4000,,,,,,,,,,,,,,,
2003,45-49,female,Professional Services,3000,,,,,,,,,,,,,,,
2002,45-49,female,Professional Services,2700,,,,,,,,,,,,,,,
2001,45-49,female,Professional Services,2600,,,,,,,,,,,,,,,
2000,45-49,female,Professional Services,2300,,,,,,,,,,,,,,,
2021,50-54,female,Professional Services,6300,,,,,,,,,,,,,,,
2020,50-54,female,Professional Services,6900,,,,,,,,,,,,,,,
2019,50-54,female,Professional Services,7500,,,,,,,,,,,,,,,
2018,50-54,female,Professional Services,7400,,,,,,,,,,,,,,,
2017,50-54,female,Professional Services,6800,,,,,,,,,,,,,,,
2016,50-54,female,Professional Services,7000,,,,,,,,,,,,,,,
2015,50-54,female,Professional Services,7100,,,,,,,,,,,,,,,
2014,50-54,female,Professional Services,5800,,,,,,,,,,,,,,,
2013,50-54,female,Professional Services,5100,,,,,,,,,,,,,,,
2012,50-54,female,Professional Services,5100,,,,,,,,,,,,,,,
2011,50-54,female,Professional Services,3900,,,,,,,,,,,,,,,
2010,50-54,female,Professional Services,4500,,,,,,,,,,,,,,,
2009,50-54,female,Professional Services,3600,,,,,,,,,,,,,,,
2008,50-54,female,Professional Services,4400,,,,,,,,,,,,,,,
2007,50-54,female,Professional Services,3300,,,,,,,,,,,,,,,
2006,50-54,female,Professional Services,2400,,,,,,,,,,,,,,,
2005,50-54,female,Professional Services,2400,,,,,,,,,,,,,,,
2004,50-54,female,Professional Services,1700,,,,,,,,,,,,,,,
2003,50-54,female,Professional Services,2000,,,,,,,,,,,,,,,
2002,50-54,female,Professional Services,1600,,,,,,,,,,,,,,,
2001,50-54,female,Professional Services,1300,,,,,,,,,,,,,,,
2000,50-54,female,Professional Services,1200,,,,,,,,,,,,,,,
2021,55-59,female,Professional Services,5600,,,,,,,,,,,,,,,
2020,55-59,female,Professional Services,5100,,,,,,,,,,,,,,,
2019,55-59,female,Professional Services,5400,,,,,,,,,,,,,,,
2018,55-59,female,Professional Services,5200,,,,,,,,,,,,,,,
2017,55-59,female,Professional Services,5200,,,,,,,,,,,,,,,
2016,55-59,female,Professional Services,4800,,,,,,,,,,,,,,,
2015,55-59,female,Professional Services,4000,,,,,,,,,,,,,,,
2014,55-59,female,Professional Services,4800,,,,,,,,,,,,,,,
2013,55-59,female,Professional Services,3000,,,,,,,,,,,,,,,
2012,55-59,female,Professional Services,3700,,,,,,,,,,,,,,,
2011,55-59,female,Professional Services,2800,,,,,,,,,,,,,,,
2010,55-59,female,Professional Services,2300,,,,,,,,,,,,,,,
2009,55-59,female,Professional Services,2000,,,,,,,,,,,,,,,
2008,55-59,female,Professional Services,1700,,,,,,,,,,,,,,,
2007,55-59,female,Professional Services,1500,,,,,,,,,,,,,,,
2006,55-59,female,Professional Services,1200,,,,,,,,,,,,,,,
2005,55-59,female,Professional Services,1000,,,,,,,,,,,,,,,
2004,55-59,female,Professional Services,900,,,,,,,,,,,,,,,
2003,55-59,female,Professional Services,500,,,,,,,,,,,,,,,
2002,55-59,female,Professional Services,500,,,,,,,,,,,,,,,
2001,55-59,female,Professional Services,500,,,,,,,,,,,,,,,
2000,55-59,female,Professional Services,300,,,,,,,,,,,,,,,
2021,60-64,female,Professional Services,4000,,,,,,,,,,,,,,,
2020,60-64,female,Professional Services,3100,,,,,,,,,,,,,,,
2019,60-64,female,Professional Services,2600,,,,,,,,,,,,,,,
2018,60-64,female,Professional Services,4100,,,,,,,,,,,,,,,
2017,60-64,female,Professional Services,2800,,,,,,,,,,,,,,,
2016,60-64,female,Professional Services,2700,,,,,,,,,,,,,,,
2015,60-64,female,Professional Services,2900,,,,,,,,,,,,,,,
2014,60-64,female,Professional Services,2700,,,,,,,,,,,,,,,
2013,60-64,female,Professional Services,1900,,,,,,,,,,,,,,,
2012,60-64,female,Professional Services,1100,,,,,,,,,,,,,,,
2011,60-64,female,Professional Services,700,,,,,,,,,,,,,,,
2010,60-64,female,Professional Services,1100,,,,,,,,,,,,,,,
2009,60-64,female,Professional Services,700,,,,,,,,,,,,,,,
2008,60-64,female,Professional Services,500,,,,,,,,,,,,,,,
2007,60-64,female,Professional Services,500,,,,,,,,,,,,,,,
2006,60-64,female,Professional Services,400,,,,,,,,,,,,,,,
2005,60-64,female,Professional Services,300,,,,,,,,,,,,,,,
2004,60-64,female,Professional Services,100,,,,,,,,,,,,,,,
2003,60-64,female,Professional Services,100,,,,,,,,,,,,,,,
2002,60-64,female,Professional Services,200,,,,,,,,,,,,,,,
2001,60-64,female,Professional Services,100,,,,,,,,,,,,,,,
2000,60-64,female,Professional Services,200,,,,,,,,,,,,,,,
2021,65 and older,female,Professional Services,4100,,,,,,,,,,,,,,,
2020,65 and older,female,Professional Services,2700,,,,,,,,,,,,,,,
2019,65 and older,female,Professional Services,2500,,,,,,,,,,,,,,,
2018,65 and older,female,Professional Services,2300,,,,,,,,,,,,,,,
2017,65 and older,female,Professional Services,2200,,,,,,,,,,,,,,,
2016,65 and older,female,Professional Services,1800,,,,,,,,,,,,,,,
2015,65 and older,female,Professional Services,1400,,,,,,,,,,,,,,,
2014,65 and older,female,Professional Services,1000,,,,,,,,,,,,,,,
2013,65 and older,female,Professional Services,1100,,,,,,,,,,,,,,,
2012,65 and older,female,Professional Services,900,,,,,,,,,,,,,,,
2011,65 and older,female,Professional Services,800,,,,,,,,,,,,,,,
2010,65 and older,female,Professional Services,500,,,,,,,,,,,,,,,
2009,65 and older,female,Professional Services,200,,,,,,,,,,,,,,,
2008,65 and older,female,Professional Services,400,,,,,,,,,,,,,,,
2007,65 and older,female,Professional Services,200,,,,,,,,,,,,,,,
2006,65 and older,female,Professional Services,100,,,,,,,,,,,,,,,
2005,65 and older,female,Professional Services,200,,,,,,,,,,,,,,,
2004,65 and older,female,Professional Services,200,,,,,,,,,,,,,,,
2003,65 and older,female,Professional Services,100,,,,,,,,,,,,,,,
2002,65 and older,female,Professional Services,0,,,,,,,,,,,,,,,
2001,65 and older,female,Professional Services,100,,,,,,,,,,,,,,,
2000,65 and older,female,Professional Services,100,,,,,,,,,,,,,,,
2021,15-19,male,Professional Services,600,,,,,,,,,,,,,,,
2020,15-19,male,Professional Services,500,,,,,,,,,,,,,,,
2019,15-19,male,Professional Services,500,,,,,,,,,,,,,,,
2018,15-19,male,Professional Services,300,,,,,,,,,,,,,,,
2017,15-19,male,Professional Services,300,,,,,,,,,,,,,,,
2016,15-19,male,Professional Services,500,,,,,,,,,,,,,,,
2015,15-19,male,Professional Services,200,,,,,,,,,,,,,,,
2014,15-19,male,Professional Services,200,,,,,,,,,,,,,,,
2013,15-19,male,Professional Services,300,,,,,,,,,,,,,,,
2012,15-19,male,Professional Services,300,,,,,,,,,,,,,,,
2011,15-19,male,Professional Services,300,,,,,,,,,,,,,,,
2010,15-19,male,Professional Services,300,,,,,,,,,,,,,,,
2009,15-19,male,Professional Services,200,,,,,,,,,,,,,,,
2008,15-19,male,Professional Services,100,,,,,,,,,,,,,,,
2007,15-19,male,Professional Services,200,,,,,,,,,,,,,,,
2006,15-19,male,Professional Services,200,,,,,,,,,,,,,,,
2005,15-19,male,Professional Services,100,,,,,,,,,,,,,,,
2004,15-19,male,Professional Services,200,,,,,,,,,,,,,,,
2003,15-19,male,Professional Services,0,,,,,,,,,,,,,,,
2002,15-19,male,Professional Services,100,,,,,,,,,,,,,,,
2001,15-19,male,Professional Services,0,,,,,,,,,,,,,,,
2000,15-19,male,Professional Services,0,,,,,,,,,,,,,,,
2021,20-24,male,Professional Services,3000,,,,,,,,,,,,,,,
2020,20-24,male,Professional Services,1300,,,,,,,,,,,,,,,
2019,20-24,male,Professional Services,2700,,,,,,,,,,,,,,,
2018,20-24,male,Professional Services,3100,,,,,,,,,,,,,,,
2017,20-24,male,Professional Services,3100,,,,,,,,,,,,,,,
2016,20-24,male,Professional Services,2400,,,,,,,,,,,,,,,
2015,20-24,male,Professional Services,2700,,,,,,,,,,,,,,,
2014,20-24,male,Professional Services,2500,,,,,,,,,,,,,,,
2013,20-24,male,Professional Services,3000,,,,,,,,,,,,,,,
2012,20-24,male,Professional Services,2600,,,,,,,,,,,,,,,
2011,20-24,male,Professional Services,2100,,,,,,,,,,,,,,,
2010,20-24,male,Professional Services,2500,,,,,,,,,,,,,,,
2009,20-24,male,Professional Services,2100,,,,,,,,,,,,,,,
2008,20-24,male,Professional Services,2800,,,,,,,,,,,,,,,
2007,20-24,male,Professional Services,1900,,,,,,,,,,,,,,,
2006,20-24,male,Professional Services,1700,,,,,,,,,,,,,,,
2005,20-24,male,Professional Services,1500,,,,,,,,,,,,,,,
2004,20-24,male,Professional Services,1100,,,,,,,,,,,,,,,
2003,20-24,male,Professional Services,800,,,,,,,,,,,,,,,
2002,20-24,male,Professional Services,800,,,,,,,,,,,,,,,
2001,20-24,male,Professional Services,1300,,,,,,,,,,,,,,,
2000,20-24,male,Professional Services,1400,,,,,,,,,,,,,,,
2021,25-29,male,Professional Services,12000,,,,,,,,,,,,,,,
2020,25-29,male,Professional Services,12200,,,,,,,,,,,,,,,
2019,25-29,male,Professional Services,11700,,,,,,,,,,,,,,,
2018,25-29,male,Professional Services,11600,,,,,,,,,,,,,,,
2017,25-29,male,Professional Services,11500,,,,,,,,,,,,,,,
2016,25-29,male,Professional Services,11500,,,,,,,,,,,,,,,
2015,25-29,male,Professional Services,10300,,,,,,,,,,,,,,,
2014,25-29,male,Professional Services,10000,,,,,,,,,,,,,,,
2013,25-29,male,Professional Services,8700,,,,,,,,,,,,,,,
2012,25-29,male,Professional Services,8900,,,,,,,,,,,,,,,
2011,25-29,male,Professional Services,7200,,,,,,,,,,,,,,,
2010,25-29,male,Professional Services,7700,,,,,,,,,,,,,,,
2009,25-29,male,Professional Services,9200,,,,,,,,,,,,,,,
2008,25-29,male,Professional Services,6600,,,,,,,,,,,,,,,
2007,25-29,male,Professional Services,6700,,,,,,,,,,,,,,,
2006,25-29,male,Professional Services,7000,,,,,,,,,,,,,,,
2005,25-29,male,Professional Services,7200,,,,,,,,,,,,,,,
2004,25-29,male,Professional Services,5900,,,,,,,,,,,,,,,
2003,25-29,male,Professional Services,5700,,,,,,,,,,,,,,,
2002,25-29,male,Professional Services,4700,,,,,,,,,,,,,,,
2001,25-29,male,Professional Services,5000,,,,,,,,,,,,,,,
2000,25-29,male,Professional Services,6400,,,,,,,,,,,,,,,
2021,30-34,male,Professional Services,13700,,,,,,,,,,,,,,,
2020,30-34,male,Professional Services,12900,,,,,,,,,,,,,,,
